Gene	ROLE	CANCER_TYPE
PRKCB	Act	CM, DLBCL, HNSC, LUSC, ST
PRKCD	LoF	DLBCL, NHLY
PRKD2	ambiguous	MM
PRR14	LoF	THCA
PRRX1	Act	ST
PSIP1	Act	BLCA
PTCH1	LoF	ESCA, MBL, MESO, OS, PIA, SBCC
PTEN	LoF	BLCA, BRCA, CESC, CH, CM, COREAD, ESCA, GBM, HC, HGG, HNSC, LGG, LUSC, MBL, NSCLC, OS, OV, PAIS, PIA, PRAD, RCCC, RCH, RPC, S, ST, THCA, UCEC, UCS
PTMA	LoF	MGCT
PTPN11	Act	ALL, AML, CLL, COREAD, GBM, LGG, MM, NB, PIA
PTPN13	LoF	BRCA
PTPN14	LoF	SBCC
PTPN6	LoF	CM, DLBCL
PTPRB	ambiguous	ANGS, CM, OV
PTPRC	Act	AN, CM, COREAD
PTPRD	Act	BCNET, BRCA, CM, DLBCL, ESCA, NSCLC, PRAD, VV
PTPRK	LoF	NSCLC, SCLC
PTPRT	LoF	ESCA, HNSC, OV
QKI	LoF	CM
RABEP1	LoF	SSCC
RAC1	Act	CM, HNSC
RAD21	LoF	AML, LUSC
RAF1	Act	BLCA, CM
RALGDS	Act	SSCC
RANBP2	LoF	HC, NB, NSPH, PCPG, PRAD, RCCC
RAP1GDS1	Act	ESCA, RCCC
RARA	Act	BC
RASA1	LoF	HNSC, LUSC
RASA2	LoF	DLBCL
RB1	LoF	ACC, BLCA, BRCA, CESC, CM, ESCA, GBM, HC, HNSC, LEIS, LUAD, LUSC, MM, NSCLC, OS, OV, PIA, PRAD, RB, S, SCLC, ST, UCEC, UCS
RBFOX1	Act	PRAD
RBFOX2	Act	THCA
RBM10	LoF	BLCA, CH, COREAD, LUAD, NSCLC, PAAD
RBM15	LoF	HNSC
RBM38	ambiguous	DLBCL
RBM39	Act	UCEC
RECQL4	LoF	ST
RELA	Act	ST
RET	Act	CM, LUAD, PCPG, S, THCA
RGL3	Act	AML
RGPD3	ambiguous	CM, THCA
RGS7	LoF	BRCA, LUAD
RHOA	Act	BLCA, BLY, DLBCL, HNSC, LY, NHLY, PRAD, ST
RHPN2	ambiguous	BRCA, LUSC, THCA
RIPK1	ambiguous	CLL
RNF213	Act	BLCA, ESCA, LUSC, MBL, PRAD, SBCC, UCEC
RNF43	LoF	ALL, CH, COREAD, ESCA, PAAD, PRAD, ST, UCEC
RNF6	LoF	COREAD
RPL10	LoF	MM, NHLY
RPL22	Act	HC
RPS3A	ambiguous	MM
RPS6KA3	LoF	HC
RRAGC	Act	NHLY
RRAS2	Act	UCEC
RSPH10B2	ambiguous	LGG
RUNX1	ambiguous	ACY, ALL, AML, BRCA
RUNX1T1	ambiguous	HC, LGG, PRAD, SBCC, SCLC
RXRA	LoF	BLCA
SALL4	Act	BRCA, CLL, LUSC
SATB1	Act	BC
SDC4	LoF	ST
SEPT9	Act	MM
SET	Act	SCLC
SETBP1	Act	ACC, PCPG, RCCC, THCA
SETD1B	LoF	ESCA, OV, PAAD
SETD2	LoF	ALL, BLCA, CLL, CM, EWS, HC, LGG, LUAD, MESO, MM, NSCLC, OS, PAAD, PAIS, PIA, PRAD, RCCC, RPC
SETDB1	Act	CLL, HC, MESO
SF3B1	Act	AML, BLCA, BRCA, CH, CLL, CM, LNET, MBL, PAAD, PRAD, RCCC, THYM, UVM
SFMBT2	Act	MBL
SGK1	ambiguous	DLBCL, LY, NHLY
SH2B3	ambiguous	MDPS
SIN3A	Act	NHLY
SIRPA	LoF	AML, CESC, COREAD, HGG, MBL
SIX1	LoF	WT
SLC45A3	LoF	CM
SMAD2	LoF	BRCA, COREAD
SMAD3	LoF	COREAD, PAAD
SMAD4	LoF	BRCA, CESC, CH, COREAD, ESCA, HNSC, PAAD, PRAD, ST
SMARCA1	LoF	PRAD
SMARCA4	LoF	BLCA, BLY, COREAD, ESCA, HC, HNSC, LGG, LUAD, MBL, NHLY, NSCLC, PAAD, PIA, RPC, THYM
SMARCB1	LoF	ATRT, MBL, NB, PAIS
SMARCD1	ambiguous	BRCA
SMC1A	Act	AML
SMO	Act	GBM, MBL, MESO, PIA, SBCC
SOCS1	LoF	DLBCL, LY, NHLY
SOHLH2	Act	ST
SOS1	Act	UCEC
SOX17	Act	UCEC
SOX21	LoF	PRAD
SOX9	LoF	COREAD
SP140	ambiguous	MM
SPEN	ambiguous	BRCA, CESC, CLL, DLBCL, NSPH, PAAD, PRAD, RCCC, SG
SPOP	Act	NHLY, PRAD, UCEC, UCS
SRGAP3	Act	CM, MESO
SRSF2	Act	AML, CESC
STAG2	LoF	AML, BLCA, EWS, GBM, LUSC, MBL, PIA, RCCC, RPC, SBCC, THCA
STAT3	ambiguous	DLBCL, NHLY
STAT5B	ambiguous	OV
STAT6	Act	DLBCL, NHLY
STIL	ambiguous	CESC
STK11	LoF	CESC, CH, LUAD, NSCLC
STRN	ambiguous	PRAD
SUSD2	Act	LUSC
SUZ12	Act	AML, PRAD
TAF15	ambiguous	BLCA
TBL1XR1	LoF	ALL, DLBCL
TBX3	LoF	BRCA, COREAD, DLBCL, ESCA
TCF4	Act	MBL, PIA
TCF7L2	Act	COREAD, UCEC
TCIRG1	LoF	CM
TEC	LoF	UCEC
TET1	ambiguous	GBM, HC, RPC, SBCC, ST
TET2	LoF	AML, LY, MDPS, NHLY, OS, S
TFAP4	LoF	BLY, NHLY
TFG	LoF	HC
TGFBR2	LoF	CESC, CH, COREAD, ESCA, HNSC, PAAD
TGIF1	LoF	COREAD
TLL1	Act	ESCA
TNC	ambiguous	ACC, AML, LUSC, NB
TNFAIP3	LoF	DLBCL, LY
TNFRSF14	LoF	DLBCL, LY, NHLY
TOP1	LoF	SBCC
TOP2A	Act	ST
TP53	LoF	ACC, ALL, AML, AN, ANGS, BC, BLCA, BLY, BRCA, CESC, CH, CLL, CM, COREAD, DLBCL, ESCA, EWS, GBM, HC, HGG, HNSC, LEIS, LGG, LUAD, LUSC, LY, MBL, MESO, MM, NHLY, NSCLC, NSPH, OS, OV, PAAD, PAIS, PIA, PRAD, RCCC, RCH, RPC, S, SBCC, SCLC, SSCC, ST, THCA, THYM, UCEC, UCS, VV, WT
TP63	ambiguous	BLCA, HNSC, NB, UCEC
TRAF3	LoF	MM
TRIM24	Act	PRAD
TRIM33	ambiguous	MBL
TRIM49C	Act	ST
TRIP11	Act	BLCA
TRRAP	ambiguous	ACY, BLCA, CH, CM, ESCA, HNSC, LEIS, MM
TSC1	LoF	BLCA, HC
TSC2	LoF	ACY, BLCA, HC, PAIS, RCH, SSCC
U2AF1	Act	AML, LUAD, NSCLC, PAAD, PRAD, UCEC, UCS
U2AF2	Act	AML
UBE2A	LoF	DLBCL
UBE2D2	Act	MBL
UBR5	ambiguous	CM, DLBCL, MM, RCH
UGT2B17	Act	OV
USP44	LoF	SBCC, UCEC
USP6	Act	AML, BRCA, COREAD, LUSC, PRAD, THCA
USP8	ambiguous	HC, LUSC, MM
USP9X	LoF	HNSC
VAV1	Act	PAAD
VHL	LoF	RCCC, THYM
WAS	LoF	MBL
WDR45	LoF	BLCA
